"country_name","country_code","variant","2010-2015","2015-2020","2020-2025","2025-2030","2030-2035","2035-2040","2040-2045","2045-2050","2050-2055","2055-2060","2060-2065","2065-2070","2070-2075","2075-2080","2080-2085","2085-2090","2090-2095","2095-2100"
"United States of America","840","upper 80","1.8765","2.0071","2.0916","2.1528","2.221","2.271","2.3362","2.3975","2.434","2.4897","2.5571","2.6279","2.6668","2.7177","2.7603","2.799","2.85","2.898"
"United States of America","840","lower 95","1.8765","1.7484","1.7233","1.6868","1.6669","1.666","1.6666","1.6531","1.6819","1.7071","1.7043","1.7446","1.722","1.7602","1.7753","1.7719","1.7697","1.8019"
"United States of America","840","upper 95","1.8765","2.0599","2.1634","2.2493","2.3244","2.3959","2.4684","2.5391","2.5999","2.6664","2.7394","2.8156","2.8388","2.8971","2.923","3.0072","3.0682","3.1266"
"United States of America","840","-0.5child","1.8765","1.6552","1.5332","1.4709","1.5063","1.5408","1.5736","1.6129","1.655","1.6864","1.7193","1.7493","1.7735","1.8173","1.8502","1.8878","1.9133","1.9575"
"United States of America","840","+0.5child","1.8765","2.1552","2.3332","2.4709","2.5063","2.5408","2.5736","2.6129","2.655","2.6864","2.7193","2.7493","2.7735","2.8173","2.8502","2.8878","2.9133","2.9575"
"United States of America","840","constant","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765","1.8765"
"Australia","36","median","1.885","1.8267","1.8004","1.8065","1.8003","1.8176","1.8359","1.8545","1.8796","1.8892","1.9231","1.9583","1.9827","2.0266","2.0683","2.104","2.1242","2.1649"
"Australia","36","lower 80","1.885","1.6322","1.5032","1.4144","1.324","1.2818","1.2667","1.2723","1.2535","1.2799","1.2792","1.2919","1.3127","1.3101","1.3237","1.3441","1.3731","1.3955"
"Australia","36","upper 80","1.885","2.0397","2.09","2.1307","2.1623","2.2141","2.2637","2.3163","2.3567","2.3901","2.4389","2.4811","2.512","2.5608","2.5853","2.6661","2.7028","2.7373"
"Australia","36","lower 95","1.885","1.5072","1.3495","1.2276","1.1481","1.0691","1.0047","1.0059","0.9913","0.975","0.983","1.0102","0.9826","1.0155","0.9501","1.0017","0.9983","0.9644"
"Australia","36","upper 95","1.885","2.1733","2.2499","2.3202","2.3521","2.3801","2.4579","2.4937","2.5599","2.6261","2.6824","2.7203","2.7639","2.7953","2.8585","2.9382","2.9936","3.0269"
"Australia","36","-0.5child","1.885","1.5767","1.4004","1.3065","1.3003","1.3176","1.3359","1.3545","1.3796","1.3892","1.4231","1.4583","1.4827","1.5266","1.5683","1.604","1.6242","1.6649"
"Australia","36","+0.5child","1.885","2.0767","2.2004","2.3065","2.3003","2.3176","2.3359","2.3545","2.3796","2.3892","2.4231","2.4583","2.4827","2.5266","2.5683","2.604","2.6242","2.6649"
"Australia","36","constant","1.885","1.885","1.885","1.885","1.885","1.885","1.885","1.885","1.885","1.885","1.885","1.885","1.885","1.885","1.885","1.885","1.885","1.885"
"New Zealand","554","median","2.0363","1.9782","1.9385","1.9178","1.9196","1.9189","1.9185","1.9317","1.9644","1.9704","1.9948","2.0242","2.0644","2.0866","2.1213","2.1426","2.1763","2.2127"
"New Zealand","554","lower 80","2.0363","1.7647","1.6228","1.5168","1.4528","1.4272","1.3917","1.372","1.3858","1.3564","1.3743","1.3722","1.3785","1.3927","1.4163","1.4338","1.4364","1.4658"
"New Zealand","554","upper 80","2.0363","2.184","2.2408","2.2727","2.2985","2.3213","2.3564","2.3839","2.43","2.4832","2.5086","2.5585","2.6026","2.6611","2.6986","2.75","2.8051","2.8384"
