"country_name","country_code","variant","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WORLD",900,"median",7381949,7798207,8194275,8567032,8922284,9258740,9579471,9883852,10170206,10456045,10728582,11013404,11304695,11594276,11901036,12220765,12586779,12969494
"WORLD",900,"lower 80",7381949,7771739,8140011,8481366,8799290,9096161,9362116,9603038,9823912,10030682,10214543,10401559,10581400,10738853,10900047,11098966,11329798,11570673
"WORLD",900,"upper 80",7381949,7820093,8244186,8652538,9054350,9438271,9810247,10187188,10543476,10907136,11273681,11661658,12058783,12513209,12987815,13467479,14004787,14600092
"WORLD",900,"lower 95",7381949,7762742,8116752,8438010,8734171,9005610,9252238,9458890,9646609,9820739,9971296,10096378,10246873,10361528,10518425,10663868,10809965,10967832
"WORLD",900,"upper 95",7381949,7830596,8271545,8698537,9109831,9520843,9913426,10319122,10725526,11155774,11617549,12084135,12564276,13090048,13623945,14222031,14989809,15839613
"AFRICA",903,"median",1194366,1352253,1521297,1700706,1891744,2093042,2300043,2513441,2730373,2946131,3165247,3383409,3599090,3811456,4014172,4221056,4424931,4613198
"AFRICA",903,"lower 80",1194366,1348015,1510870,1681648,1861069,2046547,2235831,2423664,2608762,2791667,2971056,3149574,3323438,3491218,3642281,3784250,3925387,4057795
"AFRICA",903,"upper 80",1194366,1356550,1531793,1721550,1925776,2143638,2372938,2612725,2867676,3127194,3391003,3659923,3933452,4223626,4517188,4803762,5101834,5401332
"AFRICA",903,"lower 95",1194366,1345779,1505617,1671550,1842717,2020914,2196452,2370691,2538568,2699369,2864615,3023227,3166572,3310609,3425432,3544163,3655616,3752043
"AFRICA",903,"upper 95",1194366,1359315,1538154,1731145,1942589,2169281,2409784,2668599,2932446,3208128,3496003,3796231,4098374,4443440,4795266,5136220,5513805,5885501
"LATIN AMERICA AND THE CARIBBEAN",904,"median",632043,664036,692888,718179,739993,758500,773321,784585,793633,801282,807006,810034,811526,813396,816586,821019,827341,838092
"LATIN AMERICA AND THE CARIBBEAN",904,"lower 80",632043,660945,685681,706360,721411,734207,741862,745171,745718,742857,736891,729451,720669,710398,700626,689475,677733,669078
"LATIN AMERICA AND THE CARIBBEAN",904,"upper 80",632043,667496,700906,731908,759692,784707,807521,829560,849796,868415,886169,903235,922115,941197,966476,990492,1019835,1055902
"LATIN AMERICA AND THE CARIBBEAN",904,"lower 95",632043,659204,681879,700177,713862,723601,726621,726736,723473,715385,704923,692559,676162,660313,643081,629522,611867,598021
"LATIN AMERICA AND THE CARIBBEAN",904,"upper 95",632043,669214,705298,738215,769909,798997,824251,849516,876708,903579,930366,955676,982918,1010839,1049445,1093766,1138202,1199492
"NORTHERN AMERICA",905,"median",355879,369638,384118,398780,413021,426789,440464,454944,470825,488700,508316,529073,552538,577228,604194,633693,667767,706533
"NORTHERN AMERICA",905,"lower 80",355879,368388,381279,394102,406092,417068,427207,437393,448418,460521,473487,486275,501369,516190,530765,547888,567105,588350
"NORTHERN AMERICA",905,"upper 80",355879,370901,387224,404409,421137,437746,454764,473415,494969,518857,546090,576652,609843,646121,687467,734079,787120,845509
"NORTHERN AMERICA",905,"lower 95",355879,367790,379819,391907,403070,412717,422277,431297,439782,449885,460581,471347,482378,493317,504158,516721,529430,543096
"NORTHERN AMERICA",905,"upper 95",355879,371601,388879,407101,425265,443986,463529,484819,509439,538563,570628,606940,646814,690542,741371,798192,858928,927080
"EUROPE",908,"median",740460,743332,743591,742670,740693,738720,737677,737412,737784,739156,742884,749674,760487,776659,797241,821693,850780,883707
"EUROPE",908,"lower 80",740460,742002,740740,738012,733851,729939,726283,723076,720162,717829,716870,718590,723531,733079,746257,763503,783007,805929
"EUROPE",908,"upper 80",740460,744607,746482,747323,747357,747878,749479,752098,756454,762751,770902,783415,801309,824859,853141,887596,928636,973454
"EUROPE",908,"lower 95",740460,741257,739200,735989,731055,725953,721314,716801,712434,708123,704837,703703,706184,711669,720292,731789,747228,763654
"EUROPE",908,"upper 95",740460,745413,748220,749795,750585,752020,754806,759895,766695,775024,785542,801356,824388,851840,885965,925872,972151,1022112
"OCEANIA",909,"median",39304,42147,44838,47486,50051,52577,55078,57560,59994,62458,64881,67273,69688,72157,74779,77607,80486,83556
"OCEANIA",909,"lower 80",39304,41914,44302,46541,48627,50552,52380,54134,55669,57113,58304,59392,60473,61524,62371,63120,64261,65070
"OCEANIA",909,"upper 80",39304,42361,45385,48398,51360,54367,57439,60725,64131,67594,71109,74665,78638,82891,87395,92354,97790,103360
"OCEANIA",909,"lower 95",39304,41808,44083,46159,47939,49627,51258,52662,53704,54500,55246,55927,56518,56582,56755,56871,56949,56936
"OCEANIA",909,"upper 95",39304,42483,45626,48824,52046,55277,58704,62387,66232,70174,74586,79347,84296,89585,95043,101551,108389,116324
"ASIA",935,"median",4419898,4626937,4806518,4957599,5087014,5193285,5276909,5336699,5380444,5411956,5432755,5447687,5462898,5490615,5535975,5581684,5651602,5728585
"ASIA",935,"lower 80",4419898,4605053,4761316,4887078,4985185,5056017,5093694,5108680,5101951,5082464,5042762,5002956,4952462,4912953,4879526,4843983,4820193,4831992
"ASIA",935,"upper 80",4419898,4644893,4849383,5028594,5187013,5328495,5452161,5569002,5673798,5768434,5850150,5951160,6067266,6194064,6336500,6492938,6683352,6906017
"ASIA",935,"lower 95",4419898,4595861,4743355,4853079,4936037,4990586,5021612,5018312,4993183,4931363,4874876,4798203,4739685,4658128,4568047,4509947,4456535,4439402
"ASIA",935,"upper 95",4419898,4654881,4867180,5063287,5240354,5393739,5537201,5682802,5821940,5940145,6066800,6215569,6408385,6608779,6859822,7152574,7501479,7896796
