"country_name","country_code","variant","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WORLD",900,"median",2535814.028,2771756.195,3032689.231,3339022.729,3699956.083,4078422.166,4457705.398,4873013.814,5330098.796,5750564.754,6144050.675,6541155.959,6957136.392,7381949.032,7798206.58600577,8194275.29826634,8567031.75281532,8922284.1676168,9258739.75525496,9579471.47264026,9883852.1654962,10170205.6215546,10456044.7676082,10728582.4876047,11013403.620627,11304694.8273672,11594275.9524227,11901035.6380702,12220764.8903182,12586778.5646646,12969494.2504071
"WORLD",900,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7381949.032,7767121.46998196,8126635.17243501,8460578.51089852,8763570.66539965,9040193.36636617,9294069.01683414,9530102.18321891,9734214.4433637,9905533.79406696,10076142.3106863,10242531.9087916,10399289.90726,10547654.8408201,10699121.1259487,10865616.302835,11028368.1273694,11237762.9389365
"WORLD",900,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7381949.032,7826066.39275882,8257726.38694699,8679070.85733443,9086514.16898603,9484834.62910925,9873503.28337367,10267752.5250261,10659685.2850627,11060703.3309376,11463811.6612836,11850209.4357035,12287005.2097771,12778494.9816594,13297237.3606341,13859823.7951375,14455774.5307928,15141097.8108418
"AFRICA",903,"median",228665.039,253990.141,285137.224,322465.997,366454.02,417892.892,480006.857,552790.682,634561.549,722916.667,817560.881,924753.409,1049442.188,1194365.829,1352253.30380042,1521297.392302,1700706.15162146,1891744.13744974,2093042.27231013,2300043.39400815,2513440.64369742,2730372.90968423,2946130.8209216,3165246.51372082,3383408.75792648,3599089.71044024,3811456.48716449,4014171.87416383,4221056.45486118,4424931.2103497,4613197.73132307
"AFRICA",903,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194365.829,1346793.72228368,1507751.03294134,1675892.7620098,1851048.03426692,2029819.76532835,2212131.47354454,2393705.20570164,2573936.24760797,2745011.17934495,2915556.42844154,3078522.31592178,3228871.67188633,3371839.2757888,3514509.41895225,3637339.54371179,3755634.12751113,3874467.12279521
"AFRICA",903,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194365.829,1358042.01629098,1535019.52750491,1726189.3280394,1934561.20050892,2157012.76721575,2396791.54809423,2644308.89501161,2904480.78403944,3179875.25992059,3464090.97522169,3754370.34856775,4041164.88512749,4328321.77362722,4629848.4861727,4940137.37853685,5276223.95593331,5605482.19585432
"LATIN AMERICA AND THE CARIBBEAN",904,"median",168772.049,193069.122,220886.699,253207.405,287899.654,325081.007,364086.289,404850.955,445691.814,486614.695,525533.607,561371.122,597249.237,632042.999,664036.062420539,692888.433517123,718179.358482626,739993.211010099,758500.054678105,773321.444572469,784585.160094184,793633.071631991,801282.167406,807005.961996622,810033.980968377,811525.516725644,813396.158949341,816586.155235422,821019.284747054,827340.860117999,838092.489501421
"LATIN AMERICA AND THE CARIBBEAN",904,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632042.999,659825.19296932,683842.136457335,702327.005672948,717484.515029147,727610.061389491,733997.668285066,735778.174454294,734048.670030852,727860.72531772,719561.013603774,707572.209753146,696808.916675682,684024.286340538,669580.561802633,653540.693055808,640356.177650931,629761.903517829
"LATIN AMERICA AND THE CARIBBEAN",904,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632042.999,668517.145564208,703311.60292483,735372.209096726,764145.459294143,791083.67082497,816918.21652656,841877.490496037,864666.611760898,887002.648340206,909952.51233974,933095.098275358,958255.53583873,985960.55111045,1016582.32770524,1051273.99220951,1093089.27146613,1138771.10208139
"NORTHERN AMERICA",905,"median",172537.795,187522.205,204725.457,219519.433,231040.884,242361.5,254300.479,266698.075,280222.626,294988.923,312718.548,327417.484,342810.063,355878.87,369638.172551413,384118.454247262,398780.444359766,413020.544771554,426788.693059583,440464.281788001,454943.760940925,470825.469224098,488700.120992139,508316.191974092,529073.055617235,552538.098003745,577227.967797296,604193.856828473,633693.370069139,667766.635263199,706533.004570948
"NORTHERN AMERICA",905,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355878.87,368034.991910895,380771.188749795,393050.758947425,404351.338039644,414691.255120411,424131.674077297,433579.558527666,442890.696962677,453533.284840721,464950.3856586,476095.403801975,489373.595277803,502428.398730658,515093.208495083,529405.497750961,541970.477506128,560754.512902239
"NORTHERN AMERICA",905,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355878.87,371277.00939791,388091.916431213,406077.954522284,423479.002150645,440987.333583315,459420.118834267,480330.126928642,503934.965387359,530094.70428332,559122.565302438,592007.825025119,627603.162171986,668797.219823379,714768.204993867,767448.030312955,825526.963033033,891271.817692871
"EUROPE",908,"median",549212.585,576944.288,605750.306,635140.4,657138.269,677374.577,693959.237,707964.164,721415.901,727786.305,726890.991,729955.726,736812.354,740460.082,743331.729686329,743591.350554893,742669.662962634,740693.167862542,738720.034534668,737677.243224586,737412.06096441,737783.80421671,739155.883569524,742884.109020323,749673.885317795,760487.14338792,776659.402332155,797241.438935256,821693.406779689,850779.967829597,883706.59310484
"EUROPE",908,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740460.082,741600.557477349,739914.425706206,736693.130881085,732339.925637403,727992.622059836,723431.020095203,719800.093274381,715805.57782918,712335.8143639,709889.064017227,710317.474364252,713123.151112955,720180.757765704,731158.077565099,745749.166681444,762591.380112918,783926.635177665
"EUROPE",908,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740460.082,745072.27601289,747372.603740457,748780.876883291,748981.131184168,749913.741416696,752557.147546478,756597.864633542,761955.331158777,770155.769046252,781169.426143392,794735.179496454,813331.914140239,838128.097535472,867693.931954347,904295.806841058,949276.740517868,1000869.47348794
"ASIA",935,"median",1404061.56,1546143.242,1700462.746,1891228.714,2137828.332,2394338.005,2642488.981,2915953.399,3221341.76,3489306.249,3730370.702,3964342.713,4194425.235,4419897.603,4626937.29658482,4806518.30267038,4957599.49444428,5087014.08174309,5193284.71666475,5276909.48732145,5336699.31947885,5380444.24897275,5411955.64278009,5432755.31737368,5447686.67481909,5462898.03007301,5490614.96516567,5535975.07084612,5581683.81228518,5651601.8662669,5728584.78664783
"ASIA",935,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4419897.603,4599785.99933175,4751033.65654058,4873370.5776785,4960418.68534664,5023623.5665585,5061949.26054038,5067706.21828779,5049970.00421977,5021012.16595109,4980300.71022136,4931171.27922576,4870564.10717499,4804121.70607009,4748219.96653244,4697197.05377177,4666589.76638333,4644037.04979258
"ASIA",935,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4419897.603,4649472.82171205,4860299.77092,5049775.22567881,5212954.30049623,5364224.58083183,5503432.12301305,5632576.37895053,5753351.57408807,5866621.57877076,5981957.76556794,6102275.28760056,6221298.76281946,6364189.31097398,6548048.71659253,6766302.40936575,7029998.94131314,7347290.91394957
