"country_name","country_code","variant","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WORLD",900,"median",7348416,7758924,8146915,8514102,8859834,9191522,9517567,9814383,10103301,10376580,10642435,10909988,11194777,11477279,11783127,12110307,12458487,12841013
"WORLD",900,"lower 80",7348416,7733221,8091550,8420380,8729479,9015398,9282166,9530870,9744681,9930264,10106560,10289577,10463987,10627080,10820126,11006305,11195898,11437751
"WORLD",900,"upper 80",7348416,7782826,8199684,8598763,8982703,9363035,9741235,10101716,10460518,10819476,11178852,11560910,11975184,12413627,12860827,13354913,13908220,14489267
"WORLD",900,"lower 95",7348416,7721985,8061542,8376904,8668813,8940872,9179459,9398363,9582712,9734471,9872890,10009265,10138134,10272035,10394114,10524956,10655979,10818435
"WORLD",900,"upper 95",7348416,7793802,8226243,8647199,9061138,9458800,9869232,10272880,10675162,11088167,11488853,11961424,12442773,12943416,13464842,14070482,14713678,15453941
"AFRICA",903,"median",1186174,1340229,1504146,1678059,1862179,2056702,2258847,2468510,2677469,2892375,3106263,3323273,3536633,3747764,3955193,4164435,4364856,4555450
"AFRICA",903,"lower 80",1186174,1335651,1493051,1657729,1830860,2010139,2189795,2373434,2554607,2734490,2904862,3076804,3240041,3395867,3546790,3687209,3813413,3934778
"AFRICA",903,"upper 80",1186174,1344437,1514977,1698537,1896524,2107925,2331125,2563598,2809496,3056482,3309980,3570138,3835483,4118999,4400299,4685572,4965811,5249950
"AFRICA",903,"lower 95",1186174,1333261,1487634,1649502,1815158,1988247,2160962,2332183,2500036,2664141,2815560,2959761,3100761,3238341,3355062,3471416,3579280,3657233
"AFRICA",903,"upper 95",1186174,1347029,1521411,1708772,1912385,2131487,2366642,2619616,2880471,3154242,3432321,3723697,4029948,4338233,4676450,5017678,5369675,5713649
"LATIN AMERICA AND THE CARIBBEAN",904,"median",634048,665892,694725,719753,741342,758911,773556,784463,792716,799513,804131,807213,809122,809846,812043,815257,818833,825496
"LATIN AMERICA AND THE CARIBBEAN",904,"lower 80",634048,662730,687662,708064,724000,735853,743072,745881,747068,744402,738145,729474,718948,708203,695272,684672,672141,661288
"LATIN AMERICA AND THE CARIBBEAN",904,"upper 80",634048,669126,702030,731773,759353,783742,806343,827295,847312,865605,881842,898968,917312,940129,963778,990350,1020590,1053429
"LATIN AMERICA AND THE CARIBBEAN",904,"lower 95",634048,661167,683726,701852,715599,725920,731205,732222,728439,718420,708724,694794,680194,664753,645881,627077,610932,591624
"LATIN AMERICA AND THE CARIBBEAN",904,"upper 95",634048,670521,706050,738197,769321,797408,825473,852411,878263,902974,929087,955839,981973,1012557,1044169,1083463,1129449,1171948
"NORTHERN AMERICA",905,"median",357714,371613,385730,399699,412960,425955,438936,452909,468020,485468,504850,526277,549019,573709,601337,633006,667720,706523
"NORTHERN AMERICA",905,"lower 80",357714,370411,382868,394856,405875,416312,426237,436786,447473,458900,472116,486193,501268,516707,534206,552967,572616,595803
"NORTHERN AMERICA",905,"upper 80",357714,372878,388529,404397,420030,435488,451459,469354,489278,512731,538808,567715,599602,634333,675011,720514,773226,833061
"NORTHERN AMERICA",905,"lower 95",357714,369589,381101,391687,401381,410472,417419,424580,434905,443336,453234,463542,474415,486280,497407,510115,524100,538812
"NORTHERN AMERICA",905,"upper 95",357714,373566,390141,407186,424121,441494,459288,479770,502611,529051,560332,592880,631582,673652,722282,778263,840910,914506
"EUROPE",908,"median",738096,739551,738912,736467,733093,729884,727881,726612,726010,726554,729295,735127,745794,760968,780561,804540,832857,865170
"EUROPE",908,"lower 80",738096,738206,735923,732066,727161,721867,717264,713250,709176,705572,703085,704388,709343,718748,730758,746575,764666,785985
"EUROPE",908,"upper 80",738096,740871,741669,741157,740000,739102,739489,741683,745013,750108,757488,769003,785723,808873,837445,871514,908855,955862
"EUROPE",908,"lower 95",738096,737398,734423,729356,723022,716987,710676,704971,699055,693839,690035,687982,688148,694159,703406,714174,729823,745897
"EUROPE",908,"upper 95",738096,741644,743204,743626,743660,744076,745726,749598,754848,763425,773260,787933,808024,836058,869676,908700,954257,1005786
"OCEANIA",909,"median",39089,41865,44526,47133,49655,52133,54617,57039,59405,61796,64175,66603,68996,71482,73936,76469,79269,82109
"OCEANIA",909,"lower 80",39089,41647,44030,46226,48279,50199,51996,53687,55248,56601,57743,58895,59819,60656,61251,61901,62508,63118
"OCEANIA",909,"upper 80",39089,42084,45057,48034,51010,53984,57046,60251,63659,67066,70645,74431,78375,82738,87347,92028,97398,103148
"OCEANIA",909,"lower 95",39089,41507,43764,45830,47582,49181,50581,51898,52967,53828,54700,55295,55823,56073,56357,56630,56248,56532
"OCEANIA",909,"upper 95",39089,42216,45308,48454,51571,54833,58094,61572,65250,69140,73377,77655,82322,86953,92386,98098,104136,111051
"ASIA",935,"median",4393296,4599812,4777556,4930926,5061039,5169172,5256287,5323142,5369302,5403381,5428397,5450636,5473306,5490025,5527445,5584253,5642532,5734885
"ASIA",935,"lower 80",4393296,4579309,4734264,4858335,4958616,5033492,5079399,5104799,5106950,5088288,5062023,5013680,4967817,4934264,4901157,4864661,4839641,4820879
"ASIA",935,"upper 80",4393296,4620208,4822640,5000539,5157702,5297769,5422484,5544090,5645917,5746168,5846074,5946764,6081967,6215854,6355637,6505652,6718492,6972293
"ASIA",935,"lower 95",4393296,4568132,4712455,4821630,4909703,4973809,5007385,5007954,4981303,4931048,4867182,4796749,4730051,4668067,4592136,4520979,4473478,4432556
"ASIA",935,"upper 95",4393296,4629316,4842521,5038232,5215145,5380384,5534937,5675624,5809551,5944926,6083128,6245288,6396451,6559326,6736825,6994529,7261331,7585899
