"country_name","country_code","variant","1950-55","1955-60","1960-65","1965-1970","1970-75","1975-80","1980-85","1985-90","1990-95","1995-2000","2000-05","2005-10","2010-15","2015-20","2020-25","2025-30","2030-35","2035-40","2040-45","2045-50","2050-55","2055-60","2060-65","2065-70","2070-75","2075-80","2080-85","2085-90","2090-95","2095-2100"
"WORLD",900,"median",4.9554330739797,4.88516723641279,5.034200166606,4.92294423592788,4.46410578213011,3.86533270459093,3.60005445756208,3.44234760609117,3.02086955996182,2.74752756933238,2.63087289568852,2.56918449500329,2.51644887291982,2.40736197569482,2.30692945989412,2.23211626233151,2.16744942326782,2.1233666216188,2.09595297923431,2.05015777424145,2.03292406271987,2.04502279540387,2.0305999696221,2.03977269443694,2.06256954013136,2.08339554332011,2.10172941052599,2.15428247308033,2.17310752859969,2.21158641752275
"WORLD",900,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09308644109565,1.89141219618167,1.76048110715064,1.62751921980475,1.52529607714747,1.4685015659862,1.37497831003281,1.33472528467264,1.27957701610107,1.28265794847069,1.28161236210731,1.25275490960572,1.24457915382283,1.24885785565252,1.26000850512169,1.29692182167787,1.29978796484723
"WORLD",900,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72561118783052,2.70562773353069,2.70983239073732,2.68610040508522,2.66269414750246,2.65293723838438,2.67025856715618,2.68389170666804,2.71744686872583,2.73744765620446,2.80367955626167,2.83297271263101,2.90125960435691,2.94579334149943,2.99357394628661,3.05239586633156,3.11355903144042
"AFRICA",903,"median",6.61941019690537,6.66159545399453,6.7246880808439,6.7164049441781,6.70813995195417,6.64090327274374,6.48460726041806,6.17877314724894,5.71665852419179,5.34289876174343,5.08423623941592,4.89049931227294,4.72435504240837,4.42335954669712,4.12831211449928,3.87328636400479,3.63574630373549,3.42202199194912,3.25903254892714,3.07111002015765,2.93575262970975,2.82965394249844,2.70387835991804,2.60096575001953,2.49916476364763,2.43767498995625,2.38452149124112,2.33093770644806,2.30881940687065,2.25085923477884
"AFRICA",903,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04175102298631,3.59359426378856,3.22088422552963,2.89802552312268,2.6392897750674,2.43447233232193,2.24657844183798,2.06017027478548,1.94123315902847,1.80735229596019,1.73588367786268,1.67272503862579,1.58736466193446,1.5324268604269,1.47312025355706,1.41154702394609,1.38379703903794
"AFRICA",903,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.788946143699,4.65176994806357,4.5474850044931,4.39522589433331,4.21493252170881,4.09470907963011,3.93416823783167,3.77524241915153,3.71015371685489,3.60370825788863,3.56321076172523,3.51127382683581,3.41407733673358,3.32175537661645,3.29381816876331,3.2355488562754,3.15770957636157
"LATIN AMERICA AND THE CARIBBEAN",904,"median",5.8731091383911,5.87952621297468,5.89368349582132,5.53236902660998,5.02552202815042,4.47986400623819,3.95688115264742,3.45597140691541,3.05846910727846,2.75552243247582,2.48264149711887,2.25845195495856,2.14151813767562,2.04154155879426,1.96142062957109,1.911665107,1.86467123225404,1.83848017322889,1.81927800872693,1.83666649316293,1.84930834479976,1.87385221872337,1.90482335710774,1.94332150314672,1.95348870338113,1.97632309649881,2.03345156886025,2.08335157227774,2.13234978143302,2.15625900989342
"LATIN AMERICA AND THE CARIBBEAN",904,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7520899448004,1.57153772986799,1.4447833049121,1.32786538046024,1.27620982879962,1.15207028371396,1.10928956656608,1.10361312374558,1.1115681368074,1.07788889504399,1.04716765380999,1.05528646937975,1.07647858333206,1.12002631315247,1.11502374819474,1.13168494751677,1.16070074950039
"LATIN AMERICA AND THE CARIBBEAN",904,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33866440032215,2.35884991959948,2.39205061997111,2.42668266686235,2.46102484661768,2.51714763240972,2.59585659114533,2.67388762462873,2.72712975804575,2.77147939984139,2.86498788706804,2.89320941399299,2.9430237682812,3.01009713658401,3.08262330316145,3.14564546504784,3.19462427408578
"NORTHERN AMERICA",905,"median",3.33637718706732,3.60789810929831,3.27523586077607,2.55042820300019,2.02442112326009,1.76791700103069,1.78705591629045,1.88491188411747,1.99684553929809,1.95392580419784,1.9909560509396,2.01011275483228,1.85124186973958,1.89953139623288,1.94379282979326,1.99631846830552,2.0400855906924,2.09236621076958,2.14316221509787,2.19892520117877,2.24664092894127,2.2930794547975,2.33939737219774,2.37397152945692,2.42728733378252,2.47414794981061,2.53220081319158,2.57604326438353,2.61814947730805,2.67179451736576
