"country_name","country_code","variant","2010-2015","2015-2020","2020-2025","2025-2030","2030-2035","2035-2040","2040-2045","2045-2050","2050-2055","2055-2060","2060-2065","2065-2070","2070-2075","2075-2080","2080-2085","2085-2090","2090-2095","2095-2100"
"Burundi","108","median","6","5.5802","5.1919","4.7817","4.4599","4.1812","3.8762","3.6144","3.3787","3.1672","3.03","2.855","2.7518","2.6337","2.5705","2.457","2.3982","2.3487"
"Burundi","108","lower 80","6","5.2887","4.6637","4.1794","3.6485","3.1833","2.8182","2.5811","2.3968","2.2168","2.0985","1.9756","1.8984","1.8508","1.7898","1.7415","1.6605","1.6016"
"Burundi","108","upper 80","6","5.8676","5.5857","5.3129","5.0898","4.8179","4.6","4.3973","4.2048","4.0552","3.9031","3.8008","3.6662","3.5771","3.4732","3.4076","3.351","3.2776"
"Burundi","108","lower 95","6","5.1225","4.2697","3.6168","2.9629","2.5706","2.3335","1.9542","1.7779","1.6856","1.6485","1.551","1.538","1.4638","1.4473","1.3647","1.292","1.2159"
"Burundi","108","upper 95","6","5.9987","5.7496","5.5685","5.3947","5.214","4.9872","4.8404","4.7145","4.5158","4.4096","4.2698","4.1927","4.1044","3.9585","3.9551","3.8049","3.7124"
"Burundi","108","-0.5child","6","5.3302","4.7919","4.2817","3.9599","3.6812","3.3762","3.1144","2.8787","2.6672","2.53","2.355","2.2518","2.1337","2.0705","1.957","1.8982","1.8487"
"Burundi","108","+0.5child","6","5.8302","5.5919","5.2817","4.9599","4.6812","4.3762","4.1144","3.8787","3.6672","3.53","3.355","3.2518","3.1337","3.0705","2.957","2.8982","2.8487"
"Burundi","108","constant","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Comoros","174","median","4.6","4.2482","3.9268","3.6673","3.4161","3.2313","3.0403","2.8851","2.7695","2.6692","2.5491","2.431","2.3614","2.3132","2.2638","2.2037","2.1671","2.1417"
"Comoros","174","lower 80","4.6","3.9465","3.5078","3.1629","2.883","2.6253","2.429","2.2896","2.1349","2.0307","1.9546","1.8225","1.7298","1.661","1.5732","1.5412","1.5225","1.4824"
"Comoros","174","upper 80","4.6","4.5239","4.3568","4.1587","4.0049","3.7974","3.6696","3.5434","3.3904","3.3051","3.2037","3.1228","3.0206","2.9442","2.9234","2.8771","2.8314","2.7833"
"Comoros","174","lower 95","4.6","3.8021","3.2896","2.8696","2.5167","2.2129","2.0481","1.9221","1.7514","1.6581","1.5336","1.493","1.3779","1.3447","1.2937","1.2607","1.1509","1.0949"
