"country_name","country_code","variant","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WORLD",900,"median",7348416,7757991,8143037,8503083,8843756,9169311,9476266,9768219,10043157,10307697,10546913,10793605,11039769,11289547,11544337,11808456,12079606,12376324
"WORLD",900,"lower 80",7348416,7734258,8092105,8419300,8726584,9003749,9266156,9488956,9681463,9864375,10015584,10166062,10312504,10442855,10587297,10727964,10860465,11010764
"WORLD",900,"upper 80",7348416,7780022,8193537,8589802,8971604,9348002,9723026,10078270,10425486,10768997,11109270,11461416,11834718,12213223,12627306,13060063,13505617,14011680
"WORLD",900,"lower 95",7348416,7720716,8060270,8373528,8657300,8923044,9149302,9336713,9498726,9636271,9748745,9854298,9944996,10016580,10097976,10164547,10260376,10340311
"WORLD",900,"upper 95",7348416,7792968,8228403,8642943,9045374,9446746,9834434,10221673,10603492,10987890,11400707,11812568,12297457,12762632,13255873,13828097,14425718,15020450
"AFRICA",903,"median",1186174,1340467,1504172,1678010,1862112,2057328,2260114,2465056,2675383,2888627,3101217,3310589,3525863,3740975,3946032,4149745,4347326,4543713
"AFRICA",903,"lower 80",1186174,1335810,1494091,1658917,1832091,2009799,2190237,2372685,2550569,2729803,2904428,3078190,3232944,3393231,3542266,3677379,3808213,3929419
"AFRICA",903,"upper 80",1186174,1344894,1515489,1699541,1896518,2108182,2331779,2563324,2804138,3056923,3313601,3580969,3865029,4137970,4421525,4708288,4991613,5285918
"AFRICA",903,"lower 95",1186174,1333462,1487190,1647871,1813085,1981845,2154380,2324213,2485656,2646964,2795502,2950866,3101861,3232294,3349792,3462339,3553510,3642970
"AFRICA",903,"upper 95",1186174,1347220,1522195,1710924,1916832,2135095,2368438,2614819,2878453,3159295,3443718,3723078,4027999,4340096,4648832,5004297,5373424,5744783
"LATIN AMERICA AND THE CARIBBEAN",904,"median",634048,665801,694622,719778,741396,759458,773784,785221,793865,799535,801754,802162,802275,801794,800015,799113,799588,801190
