"country_name","country_code","variant","2010-2015","2015-2020","2020-2025","2025-2030","2030-2035","2035-2040","2040-2045","2045-2050","2050-2055","2055-2060","2060-2065","2065-2070","2070-2075","2075-2080","2080-2085","2085-2090","2090-2095","2095-2100"
"Burundi","108","median","6","5.5782","5.1732","4.8008","4.4575","4.1572","3.8648","3.6425","3.4333","3.2586","3.0815","2.9436","2.8043","2.6841","2.5795","2.5037","2.4229","2.3662"
"Burundi","108","lower 80","6","5.2902","4.6749","4.1406","3.6338","3.2068","2.8436","2.5511","2.3737","2.1759","2.0744","2.0033","1.9136","1.8848","1.8066","1.7566","1.7205","1.6631"
"Burundi","108","upper 80","6","5.8185","5.5828","5.3079","5.0223","4.8315","4.6322","4.4589","4.3209","4.1401","3.9752","3.8519","3.7489","3.6094","3.5276","3.4233","3.2852","3.2031"
"Burundi","108","lower 95","6","5.1424","4.3668","3.6301","2.9326","2.5054","2.1877","1.9306","1.8443","1.7126","1.6442","1.5238","1.4564","1.4202","1.3791","1.3294","1.317","1.3266"
"Burundi","108","upper 95","6","5.9732","5.8102","5.5837","5.3443","5.2","4.9609","4.805","4.692","4.5026","4.3575","4.3133","4.2288","4.112","3.9627","3.9128","3.7968","3.6479"
"Burundi","108","-0.5child","6","5.3282","4.7732","4.3008","3.9575","3.6572","3.3648","3.1425","2.9333","2.7586","2.5815","2.4436","2.3043","2.1841","2.0795","2.0037","1.9229","1.8662"
"Burundi","108","+0.5child","6","5.8282","5.5732","5.3008","4.9575","4.6572","4.3648","4.1425","3.9333","3.7586","3.5815","3.4436","3.3043","3.1841","3.0795","3.0037","2.9229","2.8662"
"Burundi","108","constant","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Comoros","174","median","4.6","4.2451","3.9389","3.6658","3.4263","3.2365","3.0631","2.8967","2.7369","2.6365","2.5128","2.4385","2.3714","2.2899","2.251","2.1915","2.1542","2.144"
"Comoros","174","lower 80","4.6","3.9604","3.5175","3.1799","2.8765","2.6534","2.423","2.2821","2.119","1.9892","1.9046","1.8052","1.7095","1.627","1.5693","1.5154","1.4752","1.4512"
"Comoros","174","upper 80","4.6","4.5398","4.3437","4.1717","3.978","3.807","3.6578","3.5039","3.3815","3.3036","3.1965","3.1043","3.0741","2.9615","2.8874","2.8627","2.7989","2.7872"
"Comoros","174","lower 95","4.6","3.7828","3.2976","2.9107","2.5792","2.2943","2.0491","1.9434","1.8266","1.6558","1.565","1.5299","1.4099","1.3432","1.266","1.208","1.1706","1.1841"
"Comoros","174","upper 95","4.6","4.6721","4.5081","4.4264","4.2896","4.1351","3.9961","3.8935","3.7508","3.6591","3.6284","3.4569","3.3289","3.2716","3.2277","3.2121","3.2335","3.1029"
"Comoros","174","-0.5child","4.6","3.9951","3.5389","3.1658","2.9263","2.7365","2.5631","2.3967","2.2369","2.1365","2.0128","1.9385","1.8714","1.7899","1.751","1.6915","1.6542","1.644"
"Comoros","174","+0.5child","4.6","4.4951","4.3389","4.1658","3.9263","3.7365","3.5631","3.3967","3.2369","3.1365","3.0128","2.9385","2.8714","2.7899","2.751","2.6915","2.6542","2.644"
"Comoros","174","constant","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6"
"Djibouti","262","median","3.1","2.7675","2.5128","2.3308","2.1768","2.0725","2.0167","1.9424","1.9154","1.881","1.8756","1.8743","1.8891","1.9074","1.946","1.9737","2.0131","2.0659"
"Djibouti","262","lower 80","3.1","2.4753","2.1123","1.8962","1.7379","1.6369","1.5226","1.4226","1.3456","1.2926","1.2467","1.2392","1.2297","1.2338","1.2421","1.2579","1.2695","1.3001"
"Djibouti","262","upper 80","3.1","3.037","2.8654","2.7437","2.6357","2.5653","2.4991","2.4538","2.4353","2.4519","2.438","2.4721","2.5073","2.5469","2.6159","2.6605","2.7361","2.7864"
"Djibouti","262","lower 95","3.1","2.2895","1.8238","1.6338","1.4977","1.3784","1.2507","1.1612","1.0763","1.0215","0.965","0.9441","0.9589","0.9565","0.9239","0.9255","0.9157","0.9475"
