"country_name","country_code","variant","1950-55","1955-60","1960-65","1965-1970","1970-75","1975-80","1980-85","1985-90","1990-95","1995-2000","2000-05","2005-10","2010-15","2015-20","2020-25","2025-30","2030-35","2035-40","2040-45","2045-50","2050-55","2055-60","2060-65","2065-70","2070-75","2075-80","2080-85","2085-90","2090-95","2095-2100"
"WORLD",900,"median",4.9554330739797,4.88516723641279,5.034200166606,4.92294423592788,4.46410578213011,3.86533270459093,3.60005445756208,3.44234760609117,3.02086955996182,2.74752756933238,2.63087289568852,2.56918449500329,2.51644887291982,2.40347384166269,2.30458312795518,2.22051365156344,2.14005986435181,2.06432554662537,2.01629603634287,1.97204058597078,1.93015486961804,1.89671262467802,1.87125389528903,1.85352813299744,1.84071153335044,1.83205957565718,1.83514117644432,1.82445370069998,1.81567250561734,1.81568079701704
"WORLD",900,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08922848310173,1.92929341756272,1.75882740432151,1.63687811932738,1.54923153281088,1.4843906788229,1.44018708685651,1.39442709032203,1.3558032158691,1.32767689999801,1.30104543255603,1.30161734683606,1.25181546371461,1.24985086973784,1.30700056858066,1.32647450703933,1.35104459116103
"WORLD",900,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70397918949149,2.72499374051778,2.68070511964915,2.64887862565648,2.61318095287466,2.57029700483515,2.52741231843236,2.49211942174135,2.41623163974411,2.42254208083123,2.37374596227047,2.30728615529027,2.29228239894308,2.26729706706562,2.24730386029416,2.23193829233293,2.23764518250164
"AFRICA",903,"median",6.61941019690537,6.66159545399453,6.7246880808439,6.7164049441781,6.70813995195417,6.64090327274374,6.48460726041806,6.17877314724894,5.71665852419179,5.34289876174343,5.08423623941592,4.89049931227294,4.72435504240837,4.40029013827429,4.13908933368838,3.87768211458524,3.63065629157563,3.4198496151605,3.26067368350475,3.10075720074387,2.97426525468334,2.86617712076063,2.73643360970197,2.66612554721322,2.5508543252439,2.47349227424758,2.41640890978366,2.32818175992337,2.25137828439225,2.18111391123681
"AFRICA",903,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05069121130404,3.62235167461663,3.25831224120937,2.89108867705916,2.58455594810254,2.39330852172732,2.20126062417554,2.05498038307398,1.92382548588533,1.7930465490182,1.75882223131194,1.65023876922796,1.62001740788241,1.55304075134887,1.44931258772729,1.3966495252744,1.35332454045385
"AFRICA",903,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7871109536359,4.64788637772317,4.52422867952538,4.36163568890183,4.22290624308514,4.10261236904451,3.96587959150981,3.88294983530318,3.77914596528896,3.62496609965412,3.53209102839547,3.44083756918965,3.39920829097402,3.27435963329518,3.20105609042451,3.16575061021461,3.1262655914871
"LATIN AMERICA AND THE CARIBBEAN",904,"median",5.8731091383911,5.87952621297468,5.89368349582132,5.53236902660998,5.02552202815042,4.47986400623819,3.95688115264742,3.45597140691541,3.05846910727846,2.75552243247582,2.48264149711887,2.25845195495856,2.14151813767562,2.04417034561998,1.95826240875499,1.91191532836508,1.83377116590182,1.79317097144819,1.76482775861834,1.75087297723773,1.73312920670337,1.73542828227606,1.73745575697148,1.74055962014713,1.73726946362974,1.74934306915316,1.76175734516738,1.77393177030657,1.77507525549585,1.77670462646734
"LATIN AMERICA AND THE CARIBBEAN",904,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75322870871299,1.57995716323774,1.43036554499615,1.28966819389913,1.21134180970173,1.14035775538544,1.08880837964874,1.04464839206532,1.06228767249959,1.04509448057977,1.03920386792589,1.08548558294288,1.07938511725286,1.13175076636097,1.11959545893769,1.14454134857247,1.18668254661894
"LATIN AMERICA AND THE CARIBBEAN",904,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32926183152637,2.31955744761098,2.2958476819394,2.28499051667165,2.2473592750845,2.21512363103633,2.18444451805125,2.16933817280028,2.14597440515388,2.14075162391704,2.1104736455985,2.11634262020338,2.13094131623438,2.14346352444359,2.12046955890458,2.12250393049121,2.13544047506688
"NORTHERN AMERICA",905,"median",3.33637718706732,3.60789810929831,3.27523586077607,2.55042820300019,2.02442112326009,1.76791700103069,1.78705591629045,1.88491188411747,1.99684553929809,1.95392580419784,1.9909560509396,2.01011275483228,1.85124186973958,1.84613559844512,1.84769785818245,1.85230063069075,1.84845632986278,1.84442597673326,1.84797301907594,1.85634916744101,1.84107823420781,1.85581269412022,1.84521199802221,1.84937669100348,1.84290228898694,1.8443880821711,1.83456039142757,1.84988981837805,1.85445444498047,1.84539649012039
"NORTHERN AMERICA",905,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70382410098753,1.66587449195319,1.64226744138884,1.61492875809794,1.610001679517,1.57216642568152,1.56815292188656,1.58342090906486,1.57118282079982,1.57785421505784,1.56687579252914,1.55449232546789,1.56205522961788,1.55381338565814,1.55759475312028,1.53836057130366,1.54651072939554
"NORTHERN AMERICA",905,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97972086284626,2.02415979478549,2.05634780915519,2.07360118768688,2.10234633797932,2.12141926727422,2.13335547557313,2.13511391901148,2.14404816080659,2.14464212134389,2.15284814561804,2.15763993368571,2.15367812282295,2.16812419494249,2.17890479688057,2.17773236826333,2.16197207442625
