"country_name","country_code","variant","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WORLD",900,"median",2535814.028,2771756.195,3032689.231,3339022.729,3699956.083,4078422.166,4457705.398,4873013.814,5330098.796,5750564.754,6144050.675,6541155.959,6957136.392,7381949.032,7793031.45847728,8182396.52800914,8548548.52798647,8894337.62842352,9219859.14847463,9518466.19556333,9796538.32839334,10056797.3102738,10288670.0560872,10515097.1279948,10727698.4598328,10939087.5531972,11154489.9762914,11373131.1658703,11587332.5727349,11811405.3753073,12033630.1027994
"WORLD",900,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7381949.032,7762237.25432826,8116384.39031158,8440273.74021756,8734310.60339104,9006056.48731929,9239524.46660705,9437489.69074526,9608669.61486159,9748714.42667464,9872337.83448249,9980042.37302338,10084396.9298038,10159682.4791789,10244354.2612781,10303032.3001885,10364430.6312626,10421251.5397173
"WORLD",900,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7381949.032,7826311.34432414,8246104.45842294,8656981.40665759,9041778.98093496,9415740.46163529,9792864.1810065,10150515.6631688,10494637.0903737,10833926.4110981,11167169.4786161,11500420.4954877,11860511.993957,12236868.7057777,12622571.7111908,13032860.9108753,13450892.5659334,13916613.5854187
"AFRICA",903,"median",228665.039,253990.141,285137.224,322465.997,366454.02,417892.892,480006.857,552790.682,634561.549,722916.667,817560.881,924753.409,1049442.188,1194365.829,1352561.75571842,1521802.62897498,1701603.60359281,1892783.2207837,2092825.77315811,2300613.93104839,2514777.89191367,2732267.09989098,2954377.22496397,3175044.96083812,3393447.71196226,3612157.78788385,3822888.32847334,4033813.13014133,4236426.85493711,4436194.64100566,4625219.67315595
"AFRICA",903,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194365.829,1346979.70420596,1508185.61439187,1676198.81286774,1849739.77910784,2028574.12664597,2210694.9368981,2392081.25696156,2568572.09506901,2745064.52926615,2908483.03374297,3070817.61305117,3218560.48159872,3363529.43932424,3490093.10294191,3604877.27674727,3723685.43293165,3830597.64021143
"AFRICA",903,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194365.829,1358285.28640884,1535919.71557749,1728434.6730869,1935237.28472925,2157337.50444877,2393073.29962194,2640327.12987929,2908306.49021606,3180936.23354329,3458919.80342033,3742497.94213913,4038289.54105816,4345449.0247479,4656957.07919745,4972753.02484128,5295164.55013474,5608607.2293272
"LATIN AMERICA AND THE CARIBBEAN",904,"median",168772.049,193069.122,220886.699,253207.405,287899.654,325081.007,364086.289,404850.955,445691.814,486614.695,525533.607,561371.122,597249.237,632042.999,664210.873432088,693277.581202488,718710.758947935,740186.057876516,757719.487675929,771877.428742373,782069.137814943,788961.192808334,792944.088970989,794350.188597128,792765.91639409,789921.849289679,785679.968932661,780425.259114181,775133.625949719,770488.746037751,764906.589648411
"LATIN AMERICA AND THE CARIBBEAN",904,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632042.999,660168.60203122,684257.405344544,704139.505076801,719381.620315272,729619.006521902,735937.896010211,737069.819966396,735444.965862433,728424.167070945,717938.877785412,705798.862782664,691087.220978631,672303.561176889,651705.390985989,633426.672576075,614671.662975434,596844.869856903
"LATIN AMERICA AND THE CARIBBEAN",904,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632042.999,668267.595952708,702480.63676105,733977.574105058,761936.237287771,787294.860735073,810003.474724124,830523.437704036,849516.682550247,867055.312784645,885089.035328773,901172.78884364,915939.58031477,931276.279656096,947449.133610124,959543.218445929,984142.768778537,1005029.19038894
"NORTHERN AMERICA",905,"median",172537.795,187522.205,204725.457,219519.433,231040.884,242361.5,254300.479,266698.075,280222.626,294988.923,312718.548,327417.484,342810.063,355878.87,369327.247311514,383245.681752906,396975.942462326,409699.94379541,421440.371372061,432553.476044085,444068.462962742,455776.032671477,468278.320890448,481724.856060928,495561.655573766,509811.777449186,524407.077660295,538709.433273589,554362.123358379,570151.603251065,589539.523980821
