"country_name","country_code","variant","1950-55","1955-60","1960-65","1965-1970","1970-75","1975-80","1980-85","1985-90","1990-95","1995-2000","2000-05","2005-10","2010-15","2015-20","2020-25","2025-30","2030-35","2035-40","2040-45","2045-50","2050-55","2055-60","2060-65","2065-70","2070-75","2075-80","2080-85","2085-90","2090-95","2095-2100"
"WORLD",900,"median",4.9554330739797,4.88516723641279,5.034200166606,4.92294423592788,4.46410578213011,3.86533270459093,3.60005445756208,3.44234760609117,3.02086955996182,2.74752756933238,2.63087289568852,2.56918449500329,2.51644887291982,2.41239286684442,2.30336640931937,2.22096664440445,2.16832642656654,2.11083099499656,2.07005880761091,2.04245537120328,2.02439994637525,2.01763260270818,2.01114616936804,2.01138441372792,2.02654584154792,2.04579312809645,2.06052989038222,2.06015557812801,2.07354222234926,2.10233310493157
"WORLD",900,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10145995679666,1.91367889212359,1.76363408059426,1.65145419735411,1.51124248883961,1.47430313646598,1.42194330762963,1.35962420554936,1.34070798532246,1.31136078023346,1.30667526842161,1.26973819945626,1.26319789821203,1.2695618280761,1.25543490965987,1.23912983333915,1.24935987853982
"WORLD",900,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70643737872028,2.68950395204887,2.66967665684393,2.67326719623392,2.64745256922935,2.62843976532987,2.62767556802085,2.619143376731,2.64200652452008,2.65811956138103,2.66981445660675,2.70884614854779,2.75183019464288,2.78989150228153,2.8321187970851,2.88407278454955,2.90229695627866
"AFRICA",903,"median",6.61941019690537,6.66159545399453,6.7246880808439,6.7164049441781,6.70813995195417,6.64090327274374,6.48460726041806,6.17877314724894,5.71665852419179,5.34289876174343,5.08423623941592,4.89049931227294,4.72435504240837,4.42157030509426,4.14918559104171,3.89985317719724,3.6796467450878,3.48155701400672,3.27735278318053,3.10158964560677,2.95630946583575,2.8464494814835,2.72789280350603,2.636213440536,2.56602310744664,2.46278166789745,2.38050430428931,2.31324310142437,2.257711565633,2.20658821062558
"AFRICA",903,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0317391923842,3.60855322177069,3.2261049500751,2.87779289481228,2.64431207541323,2.42634796330791,2.26801798028162,2.11620296328373,1.96992728730352,1.84193357261745,1.73942450362099,1.68262515521032,1.60528274735237,1.53930104278467,1.5256992197099,1.47882574631701,1.38899915507151
"AFRICA",903,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78004625385817,4.62758331241763,4.51490893105805,4.3426356521907,4.20591472247873,4.07901490272658,3.91902058375942,3.77195213257133,3.70957081660132,3.61094682277186,3.5466837191803,3.45391008708211,3.40379416922334,3.30237591322092,3.29093580774538,3.20800099429136,3.1605052281595
"LATIN AMERICA AND THE CARIBBEAN",904,"median",5.8731091383911,5.87952621297468,5.89368349582132,5.53236902660998,5.02552202815042,4.47986400623819,3.95688115264742,3.45597140691541,3.05846910727846,2.75552243247582,2.48264149711887,2.25845195495856,2.14151813767562,2.05558985311805,1.95312949050511,1.89491264758441,1.86264880789236,1.82190931685086,1.77579586777257,1.76501061208372,1.76879088090166,1.76411308979487,1.79324874283548,1.80907314324511,1.82660064645328,1.85301364762402,1.8803735009565,1.89206239061695,1.93062344654848,1.97520666716635
"LATIN AMERICA AND THE CARIBBEAN",904,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75829970318367,1.56772433677622,1.42508396350703,1.30279624808546,1.20867012141343,1.13178420953127,1.08142677239176,1.06644131142917,1.02295928009204,0.982927505091583,0.9959180549394,0.987946853132806,0.951940831131983,0.982810217612107,0.980157310306903,0.994505389442352,1.00555253022012
"LATIN AMERICA AND THE CARIBBEAN",904,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34197167669438,2.35893970197522,2.37319037131321,2.37220682873826,2.402157262476,2.4269421387373,2.4401833215964,2.48021179230969,2.55439594308239,2.60920618111037,2.65407235832645,2.70393418473667,2.75931069977935,2.79806131261049,2.81717125548248,2.86775167055916,2.89610251392586
"NORTHERN AMERICA",905,"median",3.33637718706732,3.60789810929831,3.27523586077607,2.55042820300019,2.02442112326009,1.76791700103069,1.78705591629045,1.88491188411747,1.99684553929809,1.95392580419784,1.9909560509396,2.01011275483228,1.85124186973958,1.88686134146777,1.91625592403375,1.95072928632276,1.98378501392256,2.01532251606825,2.05069719599196,2.08006670576004,2.11538403097157,2.1574779673073,2.19252307976804,2.21537107937977,2.25084450581841,2.28611896202096,2.30988999874353,2.34620709237628,2.37319024720396,2.4246535149705
