"country_name","country_code","variant","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WORLD",900,"median",7381949,7793031,8182397,8548549,8894338,9219859,9518466,9796538,10056797,10288670,10515097,10727698,10939088,11154490,11373131,11587333,11811405,12033630
"WORLD",900,"lower 80",7381949,7769786,8133958,8462892,8771539,9049691,9299619,9522415,9712122,9883132,10027963,10138881,10254326,10366579,10454663,10552927,10685836,10761498
"WORLD",900,"upper 80",7381949,7817639,8233785,8627902,9007603,9365625,9721088,10057205,10386597,10700203,11024120,11330917,11661060,11991013,12317946,12675137,13037705,13404417
"WORLD",900,"lower 95",7381949,7758054,8098392,8413563,8709095,8964710,9180871,9379087,9525769,9651569,9753624,9827478,9889956,9949690,10011502,10067736,10112411,10162781
"WORLD",900,"upper 95",7381949,7833014,8267395,8677949,9078936,9462256,9849471,10229455,10606337,10967648,11359466,11745512,12132632,12514266,12915834,13358865,13825210,14322713
"AFRICA",903,"median",1194366,1352562,1521803,1701604,1892783,2092826,2300614,2514778,2732267,2954377,3175045,3393448,3612158,3822888,4033813,4236427,4436195,4625220
"AFRICA",903,"lower 80",1194366,1348177,1511532,1681202,1858378,2043540,2230952,2417324,2603223,2784182,2962646,3135076,3306357,3462957,3613926,3752634,3871078,3998820
"AFRICA",903,"upper 80",1194366,1357047,1533701,1723403,1926810,2143127,2373070,2615719,2862987,3120387,3389638,3659382,3928320,4213880,4502686,4795292,5090741,5368921
"AFRICA",903,"lower 95",1194366,1345627,1505144,1671305,1842276,2014477,2188661,2364993,2532950,2712673,2866518,3017160,3162474,3289023,3413397,3526238,3610809,3691716
"AFRICA",903,"upper 95",1194366,1359288,1537807,1732161,1943845,2170382,2409232,2664547,2929625,3219369,3516339,3829488,4157800,4468558,4820940,5179320,5520395,5860711
"LATIN AMERICA AND THE CARIBBEAN",904,"median",632043,664211,693278,718711,740186,757719,771877,782069,788961,792944,794350,792766,789922,785680,780425,775134,770489,764907
"LATIN AMERICA AND THE CARIBBEAN",904,"lower 80",632043,661054,686267,707577,723764,736213,743202,746692,746852,741454,732955,721963,709750,696269,680964,665413,648062,633990
